process_id,process_name,process_description,industry,department,repetition_level,rule_based_decision_level,structured_data_level,exception_rate,process_stability,manual_data_entry_level,system_count,handoff_count,human_judgement_level,compliance_risk_level,customer_impact_level,volume_level,time_sensitivity,data_quality_level,automation_suitability_score,automation_recommendation,implementation_complexity,business_value_potential
P0001,Employee onboarding,"Collect employee details, verify documents, create accounts, send welcome communication, update HR system",Manufacturing,Compliance,3,5,1,5,3,3,2,5,5,5,5,5,1,3,91,Human-Assisted Automation,High,Medium
P0002,Purchase order approval,"Receive purchase request, check budget, validate supplier, route approval, issue purchase order",Retail,Customer Service,5,5,3,3,4,4,1,1,2,3,1,5,1,4,100,RPA,Low,Medium
P0003,Contract review,"Receive contract, review clauses, identify legal risk, negotiate changes, obtain signoff",Insurance,Customer Service,2,2,4,3,3,1,2,1,3,4,3,4,5,2,94,RPA,Medium,Medium
P0004,Expense reimbursement,"Receive expense claim, check policy rules, validate receipt, approve payment, update finance system",Logistics,Student Services,5,5,3,3,4,5,5,5,3,1,5,4,1,3,100,Intelligent Document Processing,Medium,High
P0005,Invoice processing,"Receive invoice, validate supplier details, match purchase order, enter details into ERP, route exceptions for approval",Insurance,Claims,5,5,4,3,4,4,4,5,3,4,3,5,5,2,100,Intelligent Document Processing,High,High
P0006,Password reset,"Receive access request, verify identity, reset password, notify user, close ticket",Retail,HR,5,5,1,5,4,3,2,5,3,5,5,4,4,3,100,Workflow Automation,High,High
P0007,Purchase order approval,"Receive purchase request, check budget, validate supplier, route approval, issue purchase order",Government,Procurement,4,4,3,3,3,5,2,4,2,3,2,5,4,2,100,RPA,Medium,High
P0008,Regulatory reporting,"Collect transaction data, validate calculations, prepare report, obtain compliance review, submit to regulator",Logistics,Compliance,2,4,1,3,5,4,1,1,5,3,2,5,2,4,100,AI Copilot,Medium,Medium
P0009,Customer complaint handling,"Receive complaint, review customer history, investigate issue, decide resolution, respond to customer",Education,IT,4,2,2,4,1,1,5,5,5,3,1,4,2,3,35,Workflow Automation,High,Low
P0010,Refund processing,"Receive refund request, check eligibility, calculate refund, process payment, notify customer",Government,IT,5,5,5,4,3,4,5,4,3,4,2,5,4,1,100,Workflow Automation,High,High
P0011,Expense reimbursement,"Receive expense claim, check policy rules, validate receipt, approve payment, update finance system",Logistics,Claims,4,5,2,5,4,5,4,2,1,4,4,4,1,3,100,Intelligent Document Processing,Medium,Medium
P0012,Contract review,"Receive contract, review clauses, identify legal risk, negotiate changes, obtain signoff",Manufacturing,Compliance,1,5,2,4,3,4,2,4,3,5,3,4,1,4,98,Workflow Automation,High,Medium
P0013,Contract review,"Receive contract, review clauses, identify legal risk, negotiate changes, obtain signoff",Retail,IT,4,5,1,4,1,3,5,2,4,4,4,2,4,5,96,Human-Assisted Automation,High,Medium
P0014,Contract review,"Receive contract, review clauses, identify legal risk, negotiate changes, obtain signoff",Healthcare,HR,1,4,1,3,1,1,2,5,5,3,2,1,3,1,8,Do Not Automate,High,Low
P0015,Refund processing,"Receive refund request, check eligibility, calculate refund, process payment, notify customer",Finance,Operations,4,4,2,1,4,5,3,3,2,4,1,4,1,1,100,Workflow Automation,Medium,Medium
P0016,Insurance claim review,"Receive claim, extract documents, assess policy coverage, investigate exceptions, approve or reject claim",Banking,Compliance,4,3,2,4,1,5,4,5,4,4,1,2,5,4,76,Human-Assisted Automation,High,Medium
P0017,Regulatory reporting,"Collect transaction data, validate calculations, prepare report, obtain compliance review, submit to regulator",Logistics,Customer Service,3,2,1,5,4,2,5,3,3,5,5,2,5,2,55,AI Agent,High,Medium
P0018,Refund processing,"Receive refund request, check eligibility, calculate refund, process payment, notify customer",Telecommunications,Finance,5,5,1,4,5,4,1,5,2,3,5,5,1,5,100,Workflow Automation,Medium,High
P0019,Refund processing,"Receive refund request, check eligibility, calculate refund, process payment, notify customer",Manufacturing,HR,5,5,5,3,4,3,2,1,3,2,1,3,4,5,100,RPA,Low,Medium
P0020,Insurance claim review,"Receive claim, extract documents, assess policy coverage, investigate exceptions, approve or reject claim",Finance,Finance,1,1,4,4,3,4,1,5,3,3,1,3,4,5,76,Intelligent Document Processing,Medium,Medium
P0021,Insurance claim review,"Receive claim, extract documents, assess policy coverage, investigate exceptions, approve or reject claim",Manufacturing,Procurement,3,5,3,5,5,4,1,5,5,5,1,4,4,4,100,Human-Assisted Automation,High,Medium
P0022,Sales lead qualification,"Receive lead, check company details, score fit, assign to salesperson, update CRM",Finance,Procurement,1,4,2,2,3,1,1,5,5,1,2,5,5,3,85,AI Copilot,Medium,Medium
P0023,IT incident routing,"Receive incident, classify priority, assign resolver group, monitor SLA, close ticket",Education,HR,5,4,3,4,5,5,2,2,1,1,4,5,2,3,100,RPA,Low,High
P0024,Employee onboarding,"Collect employee details, verify documents, create accounts, send welcome communication, update HR system",Telecommunications,Claims,5,4,4,4,1,5,3,2,4,3,3,3,3,4,100,AI Copilot,Medium,Medium
P0025,Customer complaint handling,"Receive complaint, review customer history, investigate issue, decide resolution, respond to customer",Banking,Operations,3,1,2,4,4,2,1,5,3,3,2,5,1,5,81,AI Agent,Medium,Medium
P0026,Customer complaint handling,"Receive complaint, review customer history, investigate issue, decide resolution, respond to customer",Government,Sales,4,4,2,3,5,3,4,3,3,3,3,5,1,3,100,Workflow Automation,Medium,Medium
P0027,Regulatory reporting,"Collect transaction data, validate calculations, prepare report, obtain compliance review, submit to regulator",Telecommunications,HR,3,4,2,3,3,4,3,3,3,4,5,3,4,3,100,Workflow Automation,Medium,High
P0028,Password reset,"Receive access request, verify identity, reset password, notify user, close ticket",Telecommunications,Procurement,4,4,3,5,4,3,3,4,3,1,2,3,3,4,100,Workflow Automation,Medium,Medium
P0029,Employee onboarding,"Collect employee details, verify documents, create accounts, send welcome communication, update HR system",Telecommunications,Student Services,4,5,1,1,5,4,1,5,2,5,1,5,1,2,100,Workflow Automation,Medium,Medium
P0030,Refund processing,"Receive refund request, check eligibility, calculate refund, process payment, notify customer",Logistics,IT,5,5,1,5,5,4,1,3,3,1,1,5,5,5,100,Workflow Automation,Medium,High
P0031,Regulatory reporting,"Collect transaction data, validate calculations, prepare report, obtain compliance review, submit to regulator",Retail,Operations,5,4,5,5,4,1,1,2,3,3,5,4,2,3,100,RPA,Medium,Medium
P0032,Expense reimbursement,"Receive expense claim, check policy rules, validate receipt, approve payment, update finance system",Telecommunications,IT,4,4,3,4,4,5,3,3,2,2,2,4,5,2,100,Intelligent Document Processing,Medium,High
P0033,Invoice processing,"Receive invoice, validate supplier details, match purchase order, enter details into ERP, route exceptions for approval",Logistics,Student Services,4,5,4,3,5,4,5,4,2,2,1,5,5,5,100,Intelligent Document Processing,Medium,High
P0034,Password reset,"Receive access request, verify identity, reset password, notify user, close ticket",Education,Compliance,4,5,5,2,4,4,1,2,2,3,3,4,3,4,100,RPA,Low,Medium
P0035,IT incident routing,"Receive incident, classify priority, assign resolver group, monitor SLA, close ticket",Manufacturing,Compliance,4,5,4,4,4,5,1,3,1,4,3,5,1,2,100,RPA,Medium,Medium
P0036,Password reset,"Receive access request, verify identity, reset password, notify user, close ticket",Banking,HR,4,5,4,4,3,4,4,4,3,5,5,5,5,5,100,Workflow Automation,High,High
P0037,KYC verification,"Collect identity documents, verify data, check sanctions list, escalate suspicious cases",Manufacturing,Student Services,1,1,4,3,5,5,3,2,4,4,5,4,4,4,100,Human-Assisted Automation,Medium,High
P0038,Refund processing,"Receive refund request, check eligibility, calculate refund, process payment, notify customer",Government,Operations,5,5,2,4,3,5,3,4,1,4,1,5,1,4,100,Workflow Automation,Medium,Medium
P0039,Expense reimbursement,"Receive expense claim, check policy rules, validate receipt, approve payment, update finance system",Finance,Compliance,4,4,2,4,3,4,1,2,1,1,4,4,5,2,100,Intelligent Document Processing,Low,High
P0040,Student enquiry triage,"Receive enquiry, classify category, retrieve student record, provide response or escalate",Education,Sales,5,3,1,4,4,5,1,4,4,4,5,4,1,3,100,Human-Assisted Automation,Medium,High
P0041,Expense reimbursement,"Receive expense claim, check policy rules, validate receipt, approve payment, update finance system",Education,Finance,4,5,2,4,5,4,4,5,2,5,3,3,5,2,100,Intelligent Document Processing,High,High
P0042,Refund processing,"Receive refund request, check eligibility, calculate refund, process payment, notify customer",Retail,Finance,5,5,1,1,3,5,4,1,2,4,5,4,3,5,100,RPA,Medium,High
